type	index	image	question	background_story	A	B	C	D	answer
frg	41	data/figure/frg/2023-07-27--半导体-长光华芯-激光芯片行业领军，平台化能力多领域开拓_page7_图3长光华芯股权结构图截止2023年6月.jpg	苏州长光华芯光电技术股份有限公司的控股股东是谁？	"1月17日晚间，长光华芯(688048)发布业绩预告称，预计2024年度实现营业收入约2.72亿元，同比减少约6.14%；归母净利润预计亏损约9135.70万元，较上年同期增加约59万元，亏损同比收窄约0.64%；扣非净利润预计亏损约1.36亿元，亏损扩大约20.97%。
公告显示，2023年度，公司营业收入为2.90亿元，归母净利润为-9194.72万元，扣非净利润为-1.12亿元。
对于业绩变化的主要原因，长光华芯表示，报告期内，激光器市场竞争激烈，工业市场光纤耦合模块等产品价格进一步下滑，上述因素导致公司毛利水平下降。公司本年加大研发投入，研发费用较上年同期有所增加。另外，公司存货水平较高，部分存货出现减值现象，相应的资产减值准备计提影响了利润。
此外，公司2024年度收到的政府补助相较于2023年度有所减少。同时公司购买的“中融-隆晟1号集合资金信托计划”信托产品已逾期1年未兑付，公司相应确认了公允价值变动损失。
公开资料显示，苏州长光华芯光电技术股份有限公司主营业务为半导体激光芯片、器件及模块等激光行业核心元器件的研发、制造与销售。主要产品为高功率单管系列产品、高功率巴条系列产品等。"	王俊	廖新胜	潘华东	闫大勇	A
frg	42	data/figure/frg/2023-12-08--农药兽药-扬农化工-公司深度报告：农药龙头穿越周期，优创项目再添新动能_page7_图2公司股权结构截至20231206.jpg	图中江苏扬农化工股份有限公司的直接股东有哪些？	"公司主营业务为农药产品的研发、生产和销售。研发工作主要分为创制农药的研发、仿制农药的研发和现有生产工艺的技术改进。公司生产的产品涵盖杀虫剂、除草剂和杀菌剂等农药品类，杀虫剂主要有拟除虫菊酯产品等品种，拟除虫菊酯产品分为卫生用药和农用药，卫生用药主要用于室内蚊虫趋避消杀，是本公司的特色品种，农用药主要用于蔬菜、茶叶、果树等作物的害虫防治；除草剂主要有草甘膦和麦草畏等品种，杀菌剂主要有氟啶胺、吡唑嘧菌酯等品种。公司销售分为原药销售和制剂销售，原药销售主要针对下游制剂企业，制剂销售主要针对终端渠道和用户。

据Phillips McDougall统计，2019年全球作物用农药市场销售额达598.27亿美元，同比上升3.94%，非作物用农药市场销售额达78.02亿美元，同比上升3.5%，累计农药销售额为676.29亿美元，同比上升3.89%，创下历史新高。2015年受农产品价格下滑、不利天气等因素的影响，全球农药市场规模创10多年来最大跌幅。自此，全球农药市场规模增速放缓，每年维持在4%左右的增幅，行业进入存量市场阶段。农药产品需求相对比较刚性，农作物种植效益、种植方式、气候影响下发生的病虫害与环保要求成为决定农药需求的关键因素"	中国化工集团有限公司	先正达集团股份有限公司	香港中央结算有限公司	扬州福源化工科技有限公司	B
frg	43	data/figure/frg/2022-11-22--有色金属-金田股份-铜加工与稀土永磁双轮驱动业绩增长，产品迈向高端化_page8_图11公司铜加工材生产工艺流程.jpg	根据图中所示，铜排挤压后直接进入哪个工序？	"金田股份专注铜加工38年，是国内规模最大的铜加工企业。公司铜产品种类丰富，是国内少数能够满足客户对棒、管、板带和线材等多类别铜材产品一站式采购需求的企业。
从铜加工业务看，2021年～2023年，公司铜及铜产品产量年复合增长率为12%，2023年实现铜及铜合金材料总产量191.22万吨，同比增长9.38%，占中国铜加工材综合产量比例为9%，持续保持行业龙头地位；对外销量185.55万吨，同比增长15.22%，产销规模创历史新高。
2023年，公司铜加工实现业务收入999.11亿元，同比增长近10%，铜加工业务毛利率2.2%，比上年提高0.52个百分点。其中铜及铜合金产品（不含铜线排）实现营收463.56亿元，同比增长11.73%，该业务毛利率3.74%，同比提高0.93个百分点；铜线（排）实现营收535.55亿元，同比增长8.51%。"	熔铸	压延加工	铜排拉拔	精整	C
frg	44	data/figure/frg/2023-07-07--贵金属-紫金矿业-资源布局加速，矿业龙头稳固_page29_图表70巨龙铜业股权关系图最新.jpg	西藏巨龙铜业有限公司的最大股东是哪家公司？	"资料显示，紫金国际为紫金矿业旗下全资子公司。对于紫金矿业“入主”藏格矿业一事，市场人士表示，紫金矿业主要是为锂、铜资源而来。“以锂矿资源为例，明面上看，藏格矿业现有电池级碳酸锂产能不过1万吨，但藏格矿业在西藏还有盐湖资源尚待开发。”该人士称。
事实的确如此。公开信息显示，藏格矿业通过藏青基金目前持有西藏麻米措盐湖24%权益，麻米措项目规划10万吨碳酸锂产能，一期5万吨项目采矿证办理正在推进中。资料显示，麻米措盐湖已探明的可利用氯化锂储量约为250.11万吨，折合碳酸锂约为217.74万吨。
另外，藏格矿业通过产业基金投资国能矿业，未来将持股龙木错盐湖及结则茶卡盐湖，这一战略举措将进一步扩大公司的锂资源版图。资料显示，结则茶卡盐湖及龙木错盐湖共有390万吨的碳酸锂资源储量。
由此不难看出，藏格矿业锂资源储备丰富，这或是紫金矿业看中藏格矿业的主要因素。
事实上，实力雄厚的紫金矿业近年来将目光聚焦锂资源，通过大手笔收购等方式获得多处锂矿资源，其中包括阿根廷3Q盐湖、刚果（金）马鲁鲁锂矿、西藏拉果错盐湖、湖南湘源硬岩锂多金属矿等。
根据紫金矿业新的五年战略规划，公司计划在未来五年内，实现锂产量25万吨至30万吨。
从中国五矿、紫金矿业先后拿下青海盐湖企业不难看出，锂矿产业整合的大幕或已拉开。
“随着市场的成熟和技术门槛的提高，锂行业的竞争将促使企业间的并购重组增多，行业集中度可能会有所上升。”在A股某锂矿企业人士看来，大型企业凭借规模经济和技术优势，在未来的市场竞争中占据更有利的地位。"	紫金矿业集团股份有限公司	西藏紫金实业有限公司	藏格矿业股份有限公司	知不拉铜多金属矿	A
frg	45	data/figure/frg/2022-11-29--装修建材-兔宝宝-渠道横纵并拓，模式优化升级，板材龙头稳健成长_page6_图7兔宝宝股权结构图.jpg	德华集团控股股份有限公司对德华兔宝宝装饰新材股份有限公司的直接持股比例是多少？	"在金融市场风起云涌的时代，兔宝宝股份有限公司近日的股东动态引起了投资者的密切关注。2024年12月24日，该公司控股股东成功解除质押4000万股，而在紧接着的12月30日，又解除质押3600万股。这两个数字不仅是冷冰冰的股市数据，更是投资者对公司未来发展的期待与信心的体现。

在互动平台上，有一位投资者迫切地向兔宝宝询问，究竟这些解除质押的公告是在完成解除后发布，还是更早的时候。这一问题的背后，反映了大众对于股东行为透明度的渴求。这次兔宝宝的回应不仅澄清了诚意，还向市场释放了一个积极信号：公司在收到控股股东解除质押的通知后，及时进行了公告，这样的透明度值得赞赏。

从行业内部来看，解除质押股份往往意味着控股股东的股票流动性得到了恢复，这对投资者而言，无疑是个积极的信号。投资者通常会把这视为控股股东对公司未来发展的信心。尤其是在新能源汽车及智能化汽车持续发展的背景下，兔宝宝作为行业的重要参与者，未来将面临更多机遇与挑战。

市场对于兔宝宝后续的发展布局充满期待，而解除质押也有可能为公司进一步融资、扩展业务创造良机。在这个以技术为引领、用户体验为中心的汽车业趋势下，兔宝宝是否能够借助控股股东的支持，加速自身的转型与创新，成为投资者们讨论的热点。"	90%	29.68%	4.38%	1.24%	A
frg	46	data/figure/frg/2023-01-18--医药商业-益丰药房-扩张中的健行者，管理上的精细家_page7_图表3益丰药房股权结构2022年三季度.jpg	益丰大药房连锁股份有限公司的控股股东是谁？	"据公告，益丰大药房执行总裁高佑成先生持有股份201,600股，占公司总股本比例0.0166%；助理总裁颜俊先生持有股份99,600股，占总股本比例0.0082%。两位高管将各自减持不超过25%的持股，合计最高不超过75,300股。值得注意的是，他们的股份来源于限制性股票激励计划及资本公积金转增股本。
此举的背后，除了个人资金需求的原因外，这种减持行为也可能在无形中释放出公司运营状况未必理想的信号。投资者在判断这一情况时，可以结合公司历史业绩、行业前景及市场环境进行全面分析。
为了更好地理解本次减持，我们不能忽视当前国际经济大环境的影响。近年来，全球股市因通货膨胀、利率上升等多重因素波动加剧，诸多企业面临融资压力，股东减持以筹集资金的现象屡见不鲜。在美国和欧洲市场，企业高管减持已经成为一个相对常见的现象，市场对此的敏感度和反应也相对较高。
反观中国资本市场，尽管此类减持行为依然会遭到一定程度的舆论关注，但整体市场对高管减持的反应逐年趋于理性。投资者更关注的是减持背后的价值判断，而不仅仅是减持本身。"	长沙益之康咨询有限公司	宁波梅山保税港区厚信创业投资合伙企业(有限合伙)	香港中央结算有限公司	高毅	D
frg	47	data/figure/frg/2023-09-11--化学制品-永和股份-氟化工产业高度集成者，含氟高分子材料激发成长动能_page20_HFP产业链.jpg	根据图中所示，R22通过TFE和HFP最终可以生产出几种产品？	"公司业绩短期承压，随新产能释放及下游需求回暖有望修复上行。2019 年以来，随公司 子公司内蒙永和产能陆续释放，公司经营业绩整体呈增加趋势。2019-2022 年公司营业总收入、 归母净利润年均复合增速分别为 26.41%、29.25%。2022 年公司实现营业总收入 38.04 亿元， 实现归母净利润 3.00 亿元，分别同比增长 27.18%、8.03%；公司销售毛利率、净利率分别为 18.45%、7.90%。 2023H1，公司实现营业总收入 20.80 亿元，同比增长 17.78%，实现归母净利润 1.10 亿元， 同比下滑 19.79%；公司销售毛利率、销售净利率分别为 16.64%、5.30%，同比分别下滑 1.06、 2.48 个百分点。2023H1 公司盈利下滑，主要系 Q1 下游需求仍处于恢复阶段，制冷剂市场处 于去库存期，市场价格低迷所致；Q2 随着消费端的逐渐好转及成本端的进一步优化，业绩同 环比均有所改善。我们认为，后续随下游需求修复以及含氟高分子材料新增产能逐步释放，公 司业绩仍有望上行。
含氟高分子材料随产能释放毛利贡献明显抬升。分业务来看，含氟高分子材料以及以制冷 剂为主的氟碳化学品是公司两大主要业绩来源，二者合计收入贡献超 80%、毛利贡献在 73%- 87%区间。其中，含氟高分子材料收入及毛利贡献随产品产能释放近些年整体呈提升趋势。 2023H1 公司含氟高分子材料销售收入、毛利分别为 6.16 亿元、1.81 亿元，占比分别为 29.60% 和 52.38%；销售收入和毛利分别同比增长 50.25%、52.58%，主要系含氟高分子材料产能释放 带来的销量提升驱动。2023H1 公司氟碳化学品、含氟高分子材料、氟化工原料板块毛利率分 别为 9.16%、29.45%、7.96%，分别同比下滑 0.10 个百分点、增加 0.45 个百分点、下滑 24.05 个百分点；氟碳化学品、含氟高分子材料板块毛利率基本维持稳定，氟化工原料板块毛利率下 滑明显。
三费把控良好，研发投入持续加大。2017 年以来，公司成本把控能力趋于增强，三费率 水平明显下降。2023H1 公司销售费用率、财务费用率和管理费用率分别为 1.65%、0.71%和 5.63%。近年因公司聚焦高附加值含氟高分子材料和环保氟碳化学品业务，研发投入力度明显 加大，研发费用及研发费用率快速攀升。2022 年公司研发费用为 5211 万元，同比增长 81.05%， 研发费用率为 1.37%。2023H1 公司研发费用为 4044 万元，同比增长 88.11%，研发费用率进 一步上升至 1.94%。"	3	4	5	6	B
frg	48	data/figure/frg/2023-12-04--文化传媒-海看股份-大屏主业稳拓展，视听业态谋新篇_page15_图表28OTTTV内容提供方同集成服务平台合作情况.jpg	以下哪个平台是OTT TV集成服务牌照持有方？	"统计显示，截止2018年底OTT激活终端用户数2.14亿户，同比增长23.4%，2019年预计OTT激活量预计2.37亿台，同比增长10.5%。2018年末IPTV激活终端用户数1.55亿户，同比增长27.1%；有线数字电视用户总量持续下滑，2018年末已经降至2.23亿户，同比下降8.7%，且负增长加速。在IPTV以及OTT等冲击下，我国有线电视近几年收视份额持续下降，按此趋势，2019年OTT将成为TV端第一入口。奥维互娱董事长文建平曾指出，中国OTT市场从物理终端，到用户，再到运营与资本，都迎来了快速发展，特别是过去一年里OTT市场的运营收入，从2017年的40亿，爆发性的增长到2018年的86亿。耀眼的发展成效，印证了其作为家庭流量入口的巨大价值。

随着智能电视逐渐成为家庭娱乐的关键入口，整个OTT市场也开始由此前的“野蛮生长”开始转向“精耕细作”，以“低价竞争”与“激进营销”来争夺用户、增加装机量已不再是OTT行业的第一目标。

"	银河互联网电视	广东南方新媒体	中央人民广播电视台	腾讯视频	C
frg	49	data/figure/frg/2023-10-16--化学制品-巨化股份-公司深度报告：氟化工有望进入长期景气周期，龙头一体化优势尽显_page6_图2巨化股份产业链图.jpg	图中显示的氟化工产业链中，哪一种产品是通过VDC直接生产的？	"随着公司项目建设的不断推进以及产能的逐步释放，巨化股份的主营产品产销规 模进一步扩大，产品结构持续优化，2024年前三季度实现营业收入179.06亿元， 同比增长 11.83%；实现归母净利润 12.58 亿元，同比增长 68.4%，实施现金分 红 2.97 亿元；主要系公司依托龙头竞争地位、完善的技术创新体系和产业运营 经验，并基于氟化工良好的发展前景，形成了产业高端化延伸的格局与趋势。

公司产品结构不断优化，盈利能力持续提升。截至 2024 年三季度末，公司毛利 率为 16.73%，同比提高 2.54 个 pct，盈利能力持续提升。公司三季度没有披露 各业务营收情况，我们以 2024 年半年报为参考：从营业收入构成看，制冷剂、 石化材料、基础化工产品及其他、氟化工原料是公司主要的收入来源，公司制冷 剂业务占比 35.76%，同比提高 22.68%。主要系制冷剂产品价格上涨，盈利水 平大幅提升。氟化工原料业务占比逐年递增，实现营收 17.70 亿元，同比提高 124.90%，主要原因为全球对环保和高性能材料需求提升，氟化工原料作为关键 基础材料，其市场需求显著增长，同时公司在氟化工领域的技术研发取得突破， 提升了产品质量和附加值，增强了市场竞争力。石化材料营业收入逐年递增，实 现营收 20.16 亿元，同比提高 66.20%，主要原因为受原材料成本上升和市场供 需关系影响，石化材料的市场价格有所上涨，直接推动了营收的增长。"	PVDF系列	F141b	R32	HFP	B
frg	50	data/figure/frg/2023-03-01--美容护理-倍加洁-首次覆盖报告：收购薇美姿股权，深化布局口腔大健康_page14_图29薇美姿股权结构截至2022年1月30日.jpg	图中薇美姿实业（广东）股份有限公司的股东中，持股比例最高的股东是？	"薇美资也常被质疑研发投入力度不足。在招股书中，薇美姿提到，截至最后可行日期，我们有61款新产品或升级产品正在研发中，包括11款牙膏、9款漱口水、2款口腔喷雾剂、16款电动口腔护理产品、18款手动牙刷及5款其他新产品类别产品。而薇美姿2019年、2020年以及2021年前9个月放在研发开支的支出仅为0.25亿元、0.27亿元和0.12亿元。
对比同类企业，如云南白药2020年、2021年研发支出分别为1.81亿元、3.31亿元，在营收中占比为0.55%、0.91%。仅凭薇美姿的研发支出真的能支撑起这61款新产品吗？
据了解，研发投入力度不足或与薇美姿“第三方”经营模式有关，薇美姿主要任务是品牌运营和销售。从员工构成看，薇美姿员工共计738名，其中销售和营销人员达545人，占比74%。供应链、研发和质量控制等环节的人员合计只占12%。该模式下薇美姿可以减少设备、仓库投资等资本投入，将更多的资金投入于销售等核心业务。但这种“第三方”的方式在减少资本投入的同时，却衍生出 “质量管控难”等问题。
“对于薇美资而言，其核心溢价能力本身在于品牌，研发投入占比不高也正常，品牌在一定程度上也重于技术，研发投入不应成为核心关注点，当然，研发太低了也不行，二者需要做好平衡。”况玉清说。
作为一家本土品牌，薇美姿的崛起并不轻松。口腔行业近年来随着创新品牌的加入，整体集中度持续下降，竞争白热化。依托小米快速成长起来的素士科技、接入华为生态的Usmile、与阿里巴巴联手的罗曼……越来越多的口腔护理品牌牵手互联网巨头。
“未来，凭借产品创新、开发及商业化能力，我们拟不断增强产品组合力，从而持续推动销售增长。”薇美姿方面对中国商报记者表示。
目前，薇美姿不仅要面对上市的艰难，更要面对越来越激烈的市场竞争，其能否从口腔护理市场中突出重围，仍待市场和时间的检验。"	君联茂林	王梓权	曹瑞安	Oceanview Express	D
