type	index	image_path	md_path	question	A	B	C	D	answer
sdt	120	data/figure/sdt/2024-03-20--半导体-扬杰科技-功率龙头有望进入边际改善周期_page22_图表56公司营收测算汇总亿元.jpg	data/markdown/2024-03-20--半导体-扬杰科技-功率龙头有望进入边际改善周期_page22_图表56公司营收测算汇总亿元.md	在2022年，半导体芯片的毛利率为34.15%，而半导体硅片的毛利率为27.97%，两者相差多少个百分点？	6.18	7.18	8.18	9.18	A
sdt	121	data/figure/sdt/2024-03-18--通用设备-中集集团-全球集装箱龙头，集装箱需求回暖共振海工复苏_page18_表42021年PCTC船东全球格局.jpg	data/markdown/2024-03-18--通用设备-中集集团-全球集装箱龙头，集装箱需求回暖共振海工复苏_page18_表42021年PCTC船东全球格局.md	如果将排名前三的船东现有运力（艘）相加，其总和与排名第四至第六的船东现有运力（艘）总和相比，哪个更大？	排名前三的船东总和更大	排名第四至第六的船东总和更大	两者相等	无法确定	A
sdt	122	data/figure/sdt/2024-03-18--通用设备-中集集团-全球集装箱龙头，集装箱需求回暖共振海工复苏_page28_表8公司盈利预测假设.jpg	data/markdown/2024-03-18--通用设备-中集集团-全球集装箱龙头，集装箱需求回暖共振海工复苏_page28_表8公司盈利预测假设.md	如果2024年物流服务业务的主营业务收入增长率为5%，那么其2024年的主营业务收入将是多少百万元？	180	179.6	183.58	185.58	C
sdt	123	data/figure/sdt/2024-03-16--食品饮料-东鹏饮料-东鹏展翅划出第二曲线，泛饮料品类平台踏新程_page27_图表41东鹏饮料与可比公司估值对比.jpg	data/markdown/2024-03-16--食品饮料-东鹏饮料-东鹏展翅划出第二曲线，泛饮料品类平台踏新程_page27_图表41东鹏饮料与可比公司估值对比.md	根据图表，食品饮料可比头部公司金龙鱼在2023年的PE倍数为50.38x，其EPS为0.63元，请计算金龙鱼的股价。	31.68元	32.68元	30.68元	33.68元	A
sdt	124	data/figure/sdt/2024-03-14--燃气-新天然气-新天然气：国内稀缺的煤层气标的，马必、紫金山放量助力高成长_page15_表2中国天然气供需平衡表.jpg	data/markdown/2024-03-14--燃气-新天然气-新天然气：国内稀缺的煤层气标的，马必、紫金山放量助力高成长_page15_表2中国天然气供需平衡表.md	2022年进口LNG的增量为多少亿方，与2021年相比变化了多少？	-217亿方	165亿方	110亿方	80亿方	A
sdt	125	data/figure/sdt/2024-03-13--医药商业-九州通-医药流通领域民营龙头，创新战略落地有望迎来估值重塑_page27_图表43公司估值与同类公司相比具备性价比.jpg	data/markdown/2024-03-13--医药商业-九州通-医药流通领域民营龙头，创新战略落地有望迎来估值重塑_page27_图表43公司估值与同类公司相比具备性价比.md	根据表格数据，哪一家公司在2025年的预期归母净利润增速与2024年相比下降最多？	国药控股	上海医药	华润医药	百洋医药	B
sdt	126	data/figure/sdt/2024-03-11--非金属材料-中科电气-锂电负极头部企业，盈利能力持续改善_page7_图表10锂离子电池内部结构.jpg	data/markdown/2024-03-11--非金属材料-中科电气-锂电负极头部企业，盈利能力持续改善_page7_图表10锂离子电池内部结构.md	根据图表，哪种材料的克容量范围最大？	天然石墨	人造石墨	中间相碳微球	石墨烯	D
sdt	127	data/figure/sdt/2024-03-11--非金属材料-中科电气-锂电负极头部企业，盈利能力持续改善_page9_图表13锂电负极市场空间测算.jpg	data/markdown/2024-03-11--非金属材料-中科电气-锂电负极头部企业，盈利能力持续改善_page9_图表13锂电负极市场空间测算.md	2022年全球消费电池出货量相比2021年增长了多少百分比？	0.15	-0.03	0.05	0.7	A
sdt	128	data/figure/sdt/2024-03-11--生物制品-英诺特-呼吸道病原体POCT快检龙头，持续稳健增长可期_page25_图表42公司20242025年PE值低于行业平均.jpg	data/markdown/2024-03-11--生物制品-英诺特-呼吸道病原体POCT快检龙头，持续稳健增长可期_page25_图表42公司20242025年PE值低于行业平均.md	如果以2022年的收盘价和归母净利润增速为基础，计算出的市盈率（P/E）与表格中的数据最接近的是哪家公司？	万孚生物	安图生物	亚辉龙	圣湘生物	B
sdt	129	data/figure/sdt/2024-03-10--电子元件-广合科技-广合科技投资价值分析报告：服务器PCB龙头，携手优质客户快速成长_page40_表22国内可比公司盈利能力对比.jpg	data/markdown/2024-03-10--电子元件-广合科技-广合科技投资价值分析报告：服务器PCB龙头，携手优质客户快速成长_page40_表22国内可比公司盈利能力对比.md	根据表格数据，2023年1-6月深南电路的毛利率为22.93%，请问其与行业均值相比如何？	高于行业均值	低于行业均值	等于行业均值	无法确定	B
sdt	130	data/figure/sdt/2024-03-07--医疗器械-振德医疗-国内海外双轮驱动，“医疗+健康”引领长期发展_page49_表振德医疗主要原材料及能源采购金额情况.jpg	data/markdown/2024-03-07--医疗器械-振德医疗-国内海外双轮驱动，“医疗+健康”引领长期发展_page49_表振德医疗主要原材料及能源采购金额情况.md	根据表格数据，2017年辅料采购金额占总采购金额的比例比2016年增加了多少百分点？	0.0352	0.0408	0.0452	0.0508	B
sdt	131	data/figure/sdt/2024-03-06--酿酒行业-迎驾贡酒-核心产品高增延续，结构升级继续可期_page3_表2可比公司估值.jpg	data/markdown/2024-03-06--酿酒行业-迎驾贡酒-核心产品高增延续，结构升级继续可期_page3_表2可比公司估值.md	根据表格数据，贵州茅台在2025年的预测归母净利润为多少亿元？	880	1025	740	627	B
sdt	132	data/figure/sdt/2024-03-06--航运港口-唐山港-公司深度报告：华北干散核心港口，业务稳健分红领跑_page19_表4港口板块历史股息率.jpg	data/markdown/2024-03-06--航运港口-唐山港-公司深度报告：华北干散核心港口，业务稳健分红领跑_page19_表4港口板块历史股息率.md	如果投资者在2019年投资了所有列出的股票，到2022年哪只股票的平均股息率最高？	唐山港	青岛港	招商港口	上港集团	A
sdt	133	data/figure/sdt/2024-03-06--航运港口-唐山港-公司深度报告：华北干散核心港口，业务稳健分红领跑_page21_表7唐山港可比估值表2024年3月5日.jpg	data/markdown/2024-03-06--航运港口-唐山港-公司深度报告：华北干散核心港口，业务稳健分红领跑_page21_表7唐山港可比估值表2024年3月5日.md	假设你是一名投资者，基于PB（LF）指标，哪只股票在2024年3月5日看起来最具投资价值？	青岛港	宁波港	招商港口	秦港股份	C
sdt	134	data/figure/sdt/2024-03-03--生物制品-天坛生物-公司首次覆盖报告：筹建浆站陆续开采、高纯静丙上市贡献增量_page11_表2天坛生物分业务盈利预测假设.jpg	data/markdown/2024-03-03--生物制品-天坛生物-公司首次覆盖报告：筹建浆站陆续开采、高纯静丙上市贡献增量_page11_表2天坛生物分业务盈利预测假设.md	根据表格数据，2023年血液制品营收预计增长率为多少？	0.2163	0.2162	0.2164	0.2165	B
sdt	135	data/figure/sdt/2024-03-01--汽车零部件-星宇股份-自主车灯龙头的复盘与展望_page48_表322023年分车系代表性车型车灯配置情况DLP车灯.jpg	data/markdown/2024-03-01--汽车零部件-星宇股份-自主车灯龙头的复盘与展望_page48_表322023年分车系代表性车型车灯配置情况DLP车灯.md	在所有车型中，哪款车的车身形式为SUV且价格区间最低？	问界M9	北京奔驰C级L	华仁运通HiPhi Z	长城汽车WEY VV6	D
sdt	136	data/figure/sdt/2024-03-01--汽车零部件-星宇股份-自主车灯龙头的复盘与展望_page52_表362023年配备前格栅灯贯穿式前灯的车型情况.jpg	data/markdown/2024-03-01--汽车零部件-星宇股份-自主车灯龙头的复盘与展望_page52_表362023年配备前格栅灯贯穿式前灯的车型情况.md	以下哪款车型在2023年的上险量最高？	理想 L7 Pro/Max/Air 版	小鹏 P5 21/24 款	比亚迪元 PLUS 22/23 款	红旗 HS7 22/23 款	A
sdt	137	data/figure/sdt/2024-03-01--汽车零部件-星宇股份-自主车灯龙头的复盘与展望_page53_表38代表性车型内饰氛围灯配置情况.jpg	data/markdown/2024-03-01--汽车零部件-星宇股份-自主车灯龙头的复盘与展望_page53_表38代表性车型内饰氛围灯配置情况.md	计算一下2022年销量超过20万辆的合资车型数量。	4	5	6	7	B
sdt	138	data/figure/sdt/2024-03-01--汽车零部件-星宇股份-自主车灯龙头的复盘与展望_page64_表44星宇股份车灯市占率测算按照车灯销量口径.jpg	data/markdown/2024-03-01--汽车零部件-星宇股份-自主车灯龙头的复盘与展望_page64_表44星宇股份车灯市占率测算按照车灯销量口径.md	如果2022年全球汽车产量为8249.3万辆，且后组合灯销量为1458.5万只，那么每辆汽车平均需要多少个后组合灯？	0.177	0.18	0.175	0.178	A
sdt	139	data/figure/sdt/2024-03-01--汽车零部件-星宇股份-自主车灯龙头的复盘与展望_page54_表3920222025E全球及国内内饰氛围灯市场空间测算.jpg	data/markdown/2024-03-01--汽车零部件-星宇股份-自主车灯龙头的复盘与展望_page54_表3920222025E全球及国内内饰氛围灯市场空间测算.md	2024年国内低端车型内饰氛围灯销量预计比2023年增长多少万套？	80万套	90万套	100万套	110万套	A
sdt	140	data/figure/sdt/2024-02-29--化学制品-永和股份-周期与成长共振的氟化工一体化企业_page33_图表72可比公司估值.jpg	data/markdown/2024-02-29--化学制品-永和股份-周期与成长共振的氟化工一体化企业_page33_图表72可比公司估值.md	根据图表，永和股份在2023E的EPS预测值为多少？	0.41	0.64	0.66	1.1	C
sdt	141	data/figure/sdt/2024-02-23--光伏设备-中信博-中信博深度报告：光伏支架乘海风，业绩触底绽新荣_page14_图全球主要市场跟踪支架出货量预测GW.jpg	data/markdown/2024-02-23--光伏设备-中信博-中信博深度报告：光伏支架乘海风，业绩触底绽新荣_page14_图全球主要市场跟踪支架出货量预测GW.md	根据预测，2023年至2027年全球主要跟踪支架市场中，哪个国家的复合年增长率（CAGR）最高？	美国	巴西	印度	中国	C
sdt	142	data/figure/sdt/2024-02-23--光伏设备-中信博-中信博深度报告：光伏支架乘海风，业绩触底绽新荣_page23_表公司业务收入预测.jpg	data/markdown/2024-02-23--光伏设备-中信博-中信博深度报告：光伏支架乘海风，业绩触底绽新荣_page23_表公司业务收入预测.md	假设2024年BIPV的营业成本占营业收入的比例与2023年相同，那么2024年的毛利润为多少亿元？	0.51	0.61	0.71	0.81	A
sdt	143	data/figure/sdt/2024-02-20--化学原料-华鲁恒升-低成本筑壁垒，双基地促成长_page53_表20NMP新增产能梳理.jpg	data/markdown/2024-02-20--化学原料-华鲁恒升-低成本筑壁垒，双基地促成长_page53_表20NMP新增产能梳理.md	2024年预计新增合成产能与回收产能之和最大的企业是哪家？	华鲁恒升	中润化学	晟捷新能源	晶瑞电材	C
sdt	144	data/figure/sdt/2024-02-21--化肥行业-亚钾国际-境外钾盐开拓先行者，向世界级龙头迈进_page13_表6我国进口钾肥大合同价格及世界主要钾肥进口国地区进口价美元吨.jpg	data/markdown/2024-02-21--化肥行业-亚钾国际-境外钾盐开拓先行者，向世界级龙头迈进_page13_表6我国进口钾肥大合同价格及世界主要钾肥进口国地区进口价美元吨.md	根据表格数据，2011年下半年我国大合同价格比印度大合同价格高多少？	50美元/吨	70美元/吨	90美元/吨	100美元/吨	D
sdt	145	data/figure/sdt/2024-02-19--光学光电子-维信诺-首次覆盖：OLED上行周期量价齐升；ViP技术助力降本增效_page5_图6OLED平板PC项目.jpg	data/markdown/2024-02-19--光学光电子-维信诺-首次覆盖：OLED上行周期量价齐升；ViP技术助力降本增效_page5_图6OLED平板PC项目.md	在所有列出的笔记本电脑中，哪一款具有最高的刷新率？	Acer Swift X 14	Asus ZenBook 14	LG Gram Style 14	Samsung Galaxy Book3 Pro	A
fs	1210	data/figure/fs/2024-08-08--食品饮料-安琪酵母-海外延续高增，盈利逐步修复_page1_no_caption.jpg	data/markdown/2024-08-08--食品饮料-安琪酵母-海外延续高增，盈利逐步修复_page1_no_caption.md	2024E 年的主营业务收入增长率是多少？	0.137	0.124	0.156	0.108	A
fs	1211	data/figure/fs/2024-08-06--造纸印刷-华旺科技-出海扬帆空间广阔，多元布局行稳致远_page17_.jpg	data/markdown/2024-08-06--造纸印刷-华旺科技-出海扬帆空间广阔，多元布局行稳致远_page17_.md	2025E 年的流动资产合计与流动负债合计相差多少？	2,354 百万元	2,678 百万元	2,962 百万元	3,247 百万元	A
fs	1212	data/figure/fs/2024-08-06--家用轻工-乐歌股份-中报点评：人体工学稳健增长，海外仓增速超预期_page4_财务报表预测和估值数据汇总.jpg	data/markdown/2024-08-06--家用轻工-乐歌股份-中报点评：人体工学稳健增长，海外仓增速超预期_page4_财务报表预测和估值数据汇总.md	2026E 年的股东权益合计与少数股东权益相差多少？	4,352 百万元	4,352.5 百万元	4,352.7 百万元	4,353 百万元	A
fs	1213	data/figure/fs/2024-08-05--中药-佐力药业-乌灵胶囊增速亮眼_page2_附表财务预测与估值.jpg	data/markdown/2024-08-05--中药-佐力药业-乌灵胶囊增速亮眼_page2_附表财务预测与估值.md	2023 年的营业利润占营业收入的比例是多少？	0.234	0.256	0.278	0.292	A
fs	1214	data/figure/fs/2024-08-04--农牧饲渔-牧原股份-2024年中报点评：生猪出栏稳健增长，头均出栏实现盈利_page1_公司财务报表数据预测汇总.jpg	data/markdown/2024-08-04--农牧饲渔-牧原股份-2024年中报点评：生猪出栏稳健增长，头均出栏实现盈利_page1_公司财务报表数据预测汇总.md	根据预测，2025E年与2023A年相比，营业总收入增长了多少百分比？	0.308	0.314	0.321	0.336	B
fs	1215	data/figure/fs/2024-08-01--电源设备-盛弘股份-充电桩业务发展迅速，受益于全球储能装机景气浪潮_page6_财务预测与估值.jpg	data/markdown/2024-08-01--电源设备-盛弘股份-充电桩业务发展迅速，受益于全球储能装机景气浪潮_page6_财务预测与估值.md	2024E 年和 2026E 年的固定资产合计相比，差值是多少？	153	178	196	212	A
fs	1216	data/figure/fs/2024-08-01--工程机械-柳工-电动化小微挖引领工程机械电动化浪潮_page1_柳工三大财务预测表.jpg	data/markdown/2024-08-01--工程机械-柳工-电动化小微挖引领工程机械电动化浪潮_page1_柳工三大财务预测表.md	2026E 年的总负债占资产总计的比例是多少？	0.514	0.508	0.522	0.536	B
fs	1217	data/figure/fs/2024-07-29--酿酒行业-水井坊-公司事件点评报告：业绩略超预期，臻酿八号贡献增长_page2_公司盈利预测百万元.jpg	data/markdown/2024-07-29--酿酒行业-水井坊-公司事件点评报告：业绩略超预期，臻酿八号贡献增长_page2_公司盈利预测百万元.md	从 2023A 到 2026E，营业收入的年均复合增长率是多少？	0.085	0.092	0.1	0.115	B
fs	1218	data/figure/fs/2024-07-29--汽车零部件-拓普集团-Q2业绩高增长，平台化战略持续推进_page2_附表财务预测与估值.jpg	data/markdown/2024-07-29--汽车零部件-拓普集团-Q2业绩高增长，平台化战略持续推进_page2_附表财务预测与估值.md	2024E 年的营业利润增长率是多少？	0.35	0.4134	0.2305	0.2315	B
fs	1219	data/figure/fs/2024-07-28--装修建材-三棵树-2024年半年报点评：计提影响当期业绩，产品价格继续承压_page1_公司财务报表数据预测汇总.jpg	data/markdown/2024-07-28--装修建材-三棵树-2024年半年报点评：计提影响当期业绩，产品价格继续承压_page1_公司财务报表数据预测汇总.md	2023 年的少数股东权益占股东权益合计的比例是多少？	0.094	0.087	0.102	0.091	A
fs	1220	data/figure/fs/2024-07-26--汽车零部件-捷众科技-汽车精密注塑件专精特新“小巨人”，新能源智造项目放量可期_page19_捷众科技三大财务预测表.jpg	data/markdown/2024-07-26--汽车零部件-捷众科技-汽车精密注塑件专精特新“小巨人”，新能源智造项目放量可期_page19_捷众科技三大财务预测表.md	2025E 年的在建工程占固定资产合计的百分比是多少？	0.0196	0.0234	0.0278	0.0321	A
fs	1221	data/figure/fs/2024-07-25--工程机械-浙江鼎力-穿越周期持续增长，无惧“双反”进击海外_page21_财务预测摘要.jpg	data/markdown/2024-07-25--工程机械-浙江鼎力-穿越周期持续增长，无惧“双反”进击海外_page21_财务预测摘要.md	2024E 年的固定资产合计比 2023 年增加了多少？	568.97 百万元	612.34 百万元	587.61 百万元	605.12 百万元	C
fs	1222	data/figure/fs/2024-07-24--汽车零部件-拓普集团-订单释放叠加降本增效，二季度业绩超预期_page1_no_caption.jpg	data/markdown/2024-07-24--汽车零部件-拓普集团-订单释放叠加降本增效，二季度业绩超预期_page1_no_caption.md	2023 年的营业利润占营业收入的比例是多少？	0.125	0.146	0.138	0.152	C
fs	1223	data/figure/fs/2024-07-23--纺织服装-锦泓集团-24H1业绩微增，启动公司回购_page1_财务预测摘要.jpg	data/markdown/2024-07-23--纺织服装-锦泓集团-24H1业绩微增，启动公司回购_page1_财务预测摘要.md	2023 年与 2024E 年相比，应收账款的差值是多少？	-207.51 百万元	-208.51 百万元	-209.51 百万元	-210.51 百万元	A
fs	1224	data/figure/fs/2024-07-23--医疗器械-澳华内镜-国产软镜龙头，旗舰机型引领新成长_page54_表未来3年盈利预测表百万元.jpg	data/markdown/2024-07-23--医疗器械-澳华内镜-国产软镜龙头，旗舰机型引领新成长_page54_表未来3年盈利预测表百万元.md	2023年的营业利润占营业收入的比例是多少？	0.0798	0.0856	0.0945	0.1032	B
fs	1225	data/figure/fs/2024-07-22--食品饮料-仙乐健康-公司事件点评报告：盈利能力优化，业务开拓顺利_page2_公司盈利预测百万元.jpg	data/markdown/2024-07-22--食品饮料-仙乐健康-公司事件点评报告：盈利能力优化，业务开拓顺利_page2_公司盈利预测百万元.md	2024E 年的固定资产合计比 2023 年增加了多少？	156	169	178	182	A
fs	1226	data/figure/fs/2024-07-22--半导体-富创精密-24Q2营收或创季度新高，拟收购亦盛精密夯实平台型战略_page3_财务报表预测和估值数据汇总.jpg	data/markdown/2024-07-22--半导体-富创精密-24Q2营收或创季度新高，拟收购亦盛精密夯实平台型战略_page3_财务报表预测和估值数据汇总.md	2024E 年的固定资产合计比 2023 年增加了多少？	1,065 百万元	1,197 百万元	1,281 百万元	1,391 百万元	B
fs	1227	data/figure/fs/2024-07-21--酿酒行业-酒鬼酒-Q2收入端环比改善，样板建设投入期利润承压_page1_财务预测摘要.jpg	data/markdown/2024-07-21--酿酒行业-酒鬼酒-Q2收入端环比改善，样板建设投入期利润承压_page1_财务预测摘要.md	2024E 年流动资产合计与固定资产合计的差值是多少？	3,958.71 百万元	4,061.71 百万元	4,164.71 百万元	4,267.71 百万元	A
fs	1228	data/figure/fs/2024-07-19--食品饮料-康比特-康比特首次覆盖报告：产品不断创新发展，深耕运动营养行业蓝海_page14_公司财务预测表.jpg	data/markdown/2024-07-19--食品饮料-康比特-康比特首次覆盖报告：产品不断创新发展，深耕运动营养行业蓝海_page14_公司财务预测表.md	2023年至2026年期间，哪一年的营业利润增长率最高？	2023A	2024E	2025E	2026E	A
fs	1229	data/figure/fs/2024-07-18--农牧饲渔-佩蒂股份-代工恢复+品牌快增，盈利改善持续兑现_page1_.jpg	data/markdown/2024-07-18--农牧饲渔-佩蒂股份-代工恢复+品牌快增，盈利改善持续兑现_page1_.md	2023年至2026年期间，净利润在哪一年达到最大值？	2023年	2024年	2025年	2026年	D
fs	1280	data/figure/fs/2024-05-22--专用设备-广日股份-受益日立优质资产，股权激励+高分红潜力尽显_page19_财务预测摘要.jpg	data/markdown/2024-05-22--专用设备-广日股份-受益日立优质资产，股权激励+高分红潜力尽显_page19_财务预测摘要.md	2024E 年与 2022 年相比，固定资产增长了多少？	573.64 百万元	689.77 百万元	795.88 百万元	857.23 百万元	B
fs	1281	data/figure/fs/2024-05-21--纺织服装-恒辉安防-功能手套为基，高分子新材料为翼_page2_财务预测摘要.jpg	data/markdown/2024-05-21--纺织服装-恒辉安防-功能手套为基，高分子新材料为翼_page2_财务预测摘要.md	2026E 年的总资产回报率（ROA）是多少？	0.154	0.178	0.192	0.216	C
fs	1282	data/figure/fs/2024-05-20--有色金属-兴业银锡-2023年报及2024一季报点评：复产+技改带动23年业绩大幅增长，量价齐升继续提振业绩释放_page1_图表1财务预测摘要.jpg	data/markdown/2024-05-20--有色金属-兴业银锡-2023年报及2024一季报点评：复产+技改带动23年业绩大幅增长，量价齐升继续提振业绩释放_page1_图表1财务预测摘要.md	从 2023 年到 2026 年，归属于母公司所有者权益的增长幅度最大的一年是哪一年？	2024 年	2025 年	2026 年	2023 年	B
fs	1283	data/figure/fs/2024-05-16--物流行业-中创物流-集运业务边际改善，海外物流成长可期_page3_财务预测摘要.jpg	data/markdown/2024-05-16--物流行业-中创物流-集运业务边际改善，海外物流成长可期_page3_财务预测摘要.md	2026E 年的股东权益合计占总资产的百分比是多少？	0.583	0.604	0.627	0.651	C
fs	1284	data/figure/fs/2024-05-16--医疗器械-新产业-2024年一季度归母净利同比增长20%，海外业务快速增长_page3_财务预测与估值.jpg	data/markdown/2024-05-16--医疗器械-新产业-2024年一季度归母净利同比增长20%，海外业务快速增长_page3_财务预测与估值.md	2023年与2025E年相比，存货的差值是多少？	-478百万元	-569百万元	-650百万元	-731百万元	B
fs	1285	data/figure/fs/2024-05-15--银行-常熟银行-详解常熟银行2024年一季报：息差环比回升，营收、业绩保持高增速_page6_图表12常熟银行盈利预测表.jpg	data/markdown/2024-05-15--银行-常熟银行-详解常熟银行2024年一季报：息差环比回升，营收、业绩保持高增速_page6_图表12常熟银行盈利预测表.md	根据预测，2026E 年的净利息收入与 2023 年相比增长了多少？	2,353 百万元	2,853 百万元	3,353 百万元	3,853 百万元	A
fs	1286	data/figure/fs/2024-05-14--消费电子-视源股份-事件点评：新业务和海外业务持续拓展，公司稳健增长可期_page1_公司财务报表数据预测汇总.jpg	data/markdown/2024-05-14--消费电子-视源股份-事件点评：新业务和海外业务持续拓展，公司稳健增长可期_page1_公司财务报表数据预测汇总.md	2023 年的毛利率是多少？	0.2567	0.2642	0.2697	0.2748	A
fs	1287	data/figure/fs/2024-05-13--医药商业-大参林-业绩短期承压，门店快速扩张_page2_财务报表与盈利预测.jpg	data/markdown/2024-05-13--医药商业-大参林-业绩短期承压，门店快速扩张_page2_财务报表与盈利预测.md	根据资产负债表，2023A至2026E期间，哪一年的流动资产增长最快？	2024E	2025E	2026E	2023A	B
fs	1288	data/figure/fs/2024-05-10--酿酒行业-青岛啤酒-产品结构升级延续，成本回落红利释放_page2_财务报表预测和估值数据汇总.jpg	data/markdown/2024-05-10--酿酒行业-青岛啤酒-产品结构升级延续，成本回落红利释放_page2_财务报表预测和估值数据汇总.md	2023 年的固定资产占总资产的比例是多少？	0.225	0.246	0.268	0.291	B
fs	1289	data/figure/fs/2024-05-09--食品饮料-李子园-Q1收入略有压力，毛销差改善_page1_财务预测摘要.jpg	data/markdown/2024-05-09--食品饮料-李子园-Q1收入略有压力，毛销差改善_page1_财务预测摘要.md	2024E 年和 2025E 年的流动资产合计相差多少？	168.32 百万元	178.32 百万元	188.32 百万元	198.32 百万元	A
fs	1290	data/figure/fs/2024-05-08--橡胶制品-贵州轮胎-公司季报点评：23年扣非净利润同比+103.56%，24Q1扣非净利润同比+121.90%_page2_财务报表分析和预测.jpg	data/markdown/2024-05-08--橡胶制品-贵州轮胎-公司季报点评：23年扣非净利润同比+103.56%，24Q1扣非净利润同比+121.90%_page2_财务报表分析和预测.md	根据预测，2025E年的营业总收入与2023年相比增长了多少百分比？	0.278	0.346	0.402	0.459	B
fs	1291	data/figure/fs/2024-05-07--半导体-复旦微电-消费类回暖高可靠稳定增长，Q1重回增长通道_page1_no_caption.jpg	data/markdown/2024-05-07--半导体-复旦微电-消费类回暖高可靠稳定增长，Q1重回增长通道_page1_no_caption.md	2023年归属于母公司所有者权益的增长率是多少？	0.156	0.188	0.2	0.214	A
fs	1292	data/figure/fs/2024-05-05--食品饮料-天润乳业-2024年一季报点评：疆外持续扩张，新农并表短期承压_page2_天润乳业三大财务预测表.jpg	data/markdown/2024-05-05--食品饮料-天润乳业-2024年一季报点评：疆外持续扩张，新农并表短期承压_page2_天润乳业三大财务预测表.md	2024E 年和 2026E 年的固定资产合计相比，差值是多少？	357 百万元	457 百万元	557 百万元	657 百万元	B
fs	1293	data/figure/fs/2024-05-05--医疗器械-联影医疗-国内海外双轮驱动，数智化产品引领高质量发展_page1_no_caption.jpg	data/markdown/2024-05-05--医疗器械-联影医疗-国内海外双轮驱动，数智化产品引领高质量发展_page1_no_caption.md	根据资产负债表，2024E年和2026E年的流动资产相比，差值是多少？	9,918百万	10,738百万	11,558百万	12,378百万	B
fs	1294	data/figure/fs/2024-05-04--光学光电子-宸展光电-公司事件点评报告：加快推进自有品牌MicroTouch培育新成长点，2024Q1业绩显著改善_page2_公司盈利预测百万元.jpg	data/markdown/2024-05-04--光学光电子-宸展光电-公司事件点评报告：加快推进自有品牌MicroTouch培育新成长点，2024Q1业绩显著改善_page2_公司盈利预测百万元.md	2026E 年的总资产中，无形资产的占比是多少？	0.018	0.025	0.032	0.04	A
fs	1295	data/figure/fs/2024-05-03--电力行业-三峡能源-业绩表现稳健，新能源装机容量增长较大_page5_财务预测与估值.jpg	data/markdown/2024-05-03--电力行业-三峡能源-业绩表现稳健，新能源装机容量增长较大_page5_财务预测与估值.md	2026E 年的总资产与总负债的比例是多少？	1.5:1	1.8:1	2.0:1	2.2:1	C
fs	1296	data/figure/fs/2024-05-03--风电设备-日月股份-2023年出货量平稳，着力提升市占份额_page2_no_caption.jpg	data/markdown/2024-05-03--风电设备-日月股份-2023年出货量平稳，着力提升市占份额_page2_no_caption.md	2026E 年的总资产中，无形资产的占比是多少？	0.054	0.087	0.093	0.101	C
fs	1297	data/figure/fs/2024-05-02--能源金属-天齐锂业-2024年一季报点评：受高价库存和SQM税务影响，Q1盈利触底_page1_天齐锂业三大财务预测表.jpg	data/markdown/2024-05-02--能源金属-天齐锂业-2024年一季报点评：受高价库存和SQM税务影响，Q1盈利触底_page1_天齐锂业三大财务预测表.md	根据资产负债表，2026E年的总资产为多少？	96,954百万元	85,929百万元	76,535百万元	73,228百万元	A
fs	1298	data/figure/fs/2024-05-02--农牧饲渔-天康生物-2023年年报及2024年一季报点评：多业务延续增长态势，一季度实现扭亏为盈_page1_公司财务报表数据预测汇总.jpg	data/markdown/2024-05-02--农牧饲渔-天康生物-2023年年报及2024年一季报点评：多业务延续增长态势，一季度实现扭亏为盈_page1_公司财务报表数据预测汇总.md	根据预测，2023年至2026年期间，哪一年的EBITDA增长幅度最大？	2024E	2025E	2026E	2023A	B
fs	1299	data/figure/fs/2024-05-01--装修建材-欧派家居-大家居模式持续落地，直营实践验证增长潜力_page1_表财务报表和主要财务比率.jpg	data/markdown/2024-05-01--装修建材-欧派家居-大家居模式持续落地，直营实践验证增长潜力_page1_表财务报表和主要财务比率.md	根据资产负债表，2023年与2024E年的流动资产差值是多少？	-578.91	-678.91	-778.91	-878.91	A
fs	1340	data/figure/fs/2024-03-27--消费电子-拓邦股份-平台优势突出，毛利改善显著_page1_no_caption.jpg	data/markdown/2024-03-27--消费电子-拓邦股份-平台优势突出，毛利改善显著_page1_no_caption.md	2023 年至 2025E 年期间，主营业务收入的年均复合增长率是多少？	0.129	0.127	0.124	0.131	A
fs	1341	data/figure/fs/2024-03-25--专用设备-华荣股份-防爆电器龙头剑指全球，创新产品引领行业发展_page31_图表49华荣股份估值模型.jpg	data/markdown/2024-03-25--专用设备-华荣股份-防爆电器龙头剑指全球，创新产品引领行业发展_page31_图表49华荣股份估值模型.md	2024E 年的固定资产合计比 2023 年增加了多少？	576 百万元	618 百万元	592 百万元	634 百万元	A
fs	1342	data/figure/fs/2024-03-25--化学原料-宝丰能源-四季度环比持续修复，内蒙项目打开远期空间_page1_no_caption.jpg	data/markdown/2024-03-25--化学原料-宝丰能源-四季度环比持续修复，内蒙项目打开远期空间_page1_no_caption.md	2025E 年归属于母公司净利润相较 2024E 增长了多少？	0.139	0.187	0.226	0.254	C
fs	1343	data/figure/fs/2024-03-24--中药-华润三九-融合昆药业务，业绩快速增长_page1_no_caption.jpg	data/markdown/2024-03-24--中药-华润三九-融合昆药业务，业绩快速增长_page1_no_caption.md	2023年至2026年期间，主营业务收入的增长率最高的年份是哪一年？	2024E	2025E	2026E	2023	A
